Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change,Semantic_Similarity,Token_Similarity,Semantic_class,Token_class,Classes_Agree
001a5128d87e2cb934d14244d901d47e01980873,flask_tests.py,,,,,,,,,,1.0,0.9964671333537352,Minor,Minor,YES
00c5b7a937b63378394fc6fc576aa6c27106d6d6,CHANGES,,,,,,,,,,0.9999263882637024,0.9892381622282416,Minor,Minor,YES
00c5b7a937b63378394fc6fc576aa6c27106d6d6,app.py,,,,,,,,,,0.9999998807907104,0.9932159907969668,Minor,Minor,YES
00c5b7a937b63378394fc6fc576aa6c27106d6d6,flask_tests.py,,,,,,,,,,1.0,0.9903577109767032,Minor,Minor,YES
00f87f679cdd63b642675d86d073882fb8b19430,flask.py,,,,,,,,,,1.0000001192092896,0.9996233663296408,Minor,Minor,YES
00f87f679cdd63b642675d86d073882fb8b19430,quickstart.rst,,,,,,,,,,0.9993462562561036,0.9798266816631156,Minor,Minor,YES
017117778ec477205eaba6acab951951808a60a5,helpers.py,43.59276640118046,43.47985531611099,-0.1129110850694701,64.0,64.0,0.0,515.0,516.0,1.0,1.0,0.9955949045162158,Minor,Minor,YES
0198313a22a98361947fceb8544c355be676f784,helpers.py,49.53705688039741,49.581872233827234,0.0448153534298256,51.0,51.0,0.0,398.0,403.0,5.0,0.9986329078674316,0.9939840570705908,Minor,Minor,YES
029eebe2f57ed460c3e72d41422f3ffd01f0d4c1,streaming.rst,,,,,,,,,,0.9997220039367676,0.976759866632226,Minor,Minor,YES
02a131746074203dc8d747308f4d2c7ece8aa743,CHANGES,,,,,,,,,,0.999704360961914,0.982928142500244,Minor,Minor,YES
02a131746074203dc8d747308f4d2c7ece8aa743,app.py,,,,,,,,,,0.9999997615814208,0.970134529649221,Minor,Minor,YES
02a131746074203dc8d747308f4d2c7ece8aa743,blueprints.py,59.86954497328781,59.41694580810097,-0.4525991651868395,41.0,42.0,1.0,311.0,318.0,7.0,1.0000001192092896,0.974363352897602,Minor,Minor,YES
02a131746074203dc8d747308f4d2c7ece8aa743,flask_tests.py,,,,,,,,,,1.0,0.9918740709668924,Minor,Minor,YES
02b916d509422a4703df5110110686288666d3d5,appfactories.rst,,,,,,,,,,,,Major,Major,YES
02b916d509422a4703df5110110686288666d3d5,index.rst,,,,,,,,,,0.9998272657394408,0.9838431679164988,Minor,Minor,YES
0313c8b24a40d016e6b64495ce72ed912ce0fc24,blueprints.rst,,,,,,,,,,0.9973044991493224,0.5179283887055967,Minor,Major,NO
03148dba6b26a2694da1d466584f50189c52e7b3,api.rst,,,,,,,,,,0.9998944401741028,0.9564051910016942,Minor,Minor,YES
03148dba6b26a2694da1d466584f50189c52e7b3,flask.py,,,,,,,,,,0.9989688396453856,0.9614482034820891,Minor,Minor,YES
03148dba6b26a2694da1d466584f50189c52e7b3,index.rst,,,,,,,,,,0.9999297261238098,0.987058309916002,Minor,Minor,YES
03168a5d53457fdb8676a4ac9fca0f76a23c6852,apishowcase.py,83.75920770131243,,,4.0,,,30.0,,,,,Major,Major,YES
03168a5d53457fdb8676a4ac9fca0f76a23c6852,counter.html,,,,,,,,,,,,Major,Major,YES
03168a5d53457fdb8676a4ac9fca0f76a23c6852,hello.html,,,,,,,,,,,,Major,Major,YES
03168a5d53457fdb8676a4ac9fca0f76a23c6852,index.html,,,,,,,,,,,,Major,Major,YES
03168a5d53457fdb8676a4ac9fca0f76a23c6852,layout.html,,,,,,,,,,,,Major,Major,YES
03168a5d53457fdb8676a4ac9fca0f76a23c6852,minitwit.py,42.60688209014607,48.73457184659348,6.127689756447417,44.0,44.0,0.0,228.0,250.0,22.0,0.9990051984786988,0.8908737036418249,Minor,Major,NO
03168a5d53457fdb8676a4ac9fca0f76a23c6852,style.css,,,,,,,,,,,,Major,Major,YES
03a71e022919a0e1bff6606400e9d5ae234b8244,blueprints.py,59.42956858970511,58.771291422039255,-0.658277167665851,42.0,44.0,2.0,319.0,321.0,2.0,1.0000001192092896,0.9933196624692414,Minor,Minor,YES
03a71e022919a0e1bff6606400e9d5ae234b8244,flask_tests.py,,,,,,,,,,1.0,0.98222090565641,Minor,Minor,YES
03c4bb4abc3bd8120ba3e5ea493447be2ad57711,unicode.rst,,,,,,,,,,1.0000001192092896,0.9966744112338684,Minor,Minor,YES
04b90f5ad47d04bace76c18f634d54b0da4b91ce,setup.py,,,,,,,,,,0.9999998807907104,0.9851142412790918,Minor,Minor,YES
04e70bd5c7bd80696eabaea11afd9080d874f859,CHANGES,,,,,,,,,,0.9998823404312134,0.9826286132223744,Minor,Minor,YES
04e70bd5c7bd80696eabaea11afd9080d874f859,app.py,,,,,,,,,,0.9999591708183287,0.9561533068265125,Minor,Minor,YES
04e70bd5c7bd80696eabaea11afd9080d874f859,dbcon.rst,,,,,,,,,,0.9952399730682372,0.5979714553545332,Minor,Major,NO
04e70bd5c7bd80696eabaea11afd9080d874f859,flask_tests.py,,,,,,,,,,1.0,0.96025614085562,Minor,Minor,YES
04e87a93def1593dd886931e0f9e1d4f37f8d243,app.py,,,,,,,,,,1.0,0.9978930734641348,Minor,Minor,YES
04f2bbcb15bd7b3accd8e0820b83df1b2207aa24,security.rst,,,,,,,,,,1.0,0.9649622128984832,Minor,Minor,YES
05108673685c709c9929ab0e76451b74d51fb79b,signals.rst,,,,,,,,,,0.9999998807907104,0.9305607100148372,Minor,Minor,YES
05204250553b41bb40f788d37d27091b61fc1d59,config.rst,,,,,,,,,,1.0,0.9991171534212924,Minor,Minor,YES
05519a85da1b26d73bc9215aa7f5cd357404f397,_themes,,,,,,,,,,,,Major,Major,YES
0566abc28da9c997a9f7ac7b38066075a7a81cd8,testing.rst,,,,,,,,,,0.9999898672103882,0.9986847287784536,Minor,Minor,YES
05f36c7f7e2df36ee28f90d99632162579b1287c,api.rst,,,,,,,,,,0.9999997615814208,0.955765648170669,Minor,Minor,YES
05f36c7f7e2df36ee28f90d99632162579b1287c,deploying.rst,,,,,,,,,,,,Major,Major,YES
05f36c7f7e2df36ee28f90d99632162579b1287c,flask.py,,,,,,,,,,1.0000001192092896,0.8622023249825916,Minor,Major,NO
05f36c7f7e2df36ee28f90d99632162579b1287c,flaskext.py,100.0,100.0,0.0,1.0,1.0,0.0,96.0,86.0,-10.0,0.9993303418159484,0.847189545517797,Minor,Major,NO
05f36c7f7e2df36ee28f90d99632162579b1287c,flasky.css_t,,,,,,,,,,0.9998800158500672,0.7830330605424658,Minor,Major,NO
